Frame,Reward,Epsilon,Loss,QValue
5000,208.57,0.988,0.0000,0.000
10000,147.06,0.976,0.0000,0.000
15000,105.75,0.964,0.2270,0.019
20000,120.25,0.952,0.2538,0.020
25000,147.50,0.940,0.2108,0.048
30000,161.75,0.928,0.2442,0.049
35000,120.00,0.917,0.2480,0.086
40000,136.25,0.906,0.2682,0.085
45000,195.25,0.895,0.2650,0.104
50000,193.75,0.884,0.3272,0.103
55000,157.00,0.873,0.1913,0.133
60000,145.25,0.862,0.2305,0.139
65000,145.75,0.852,0.3119,0.176
70000,152.75,0.841,0.3592,0.180
75000,171.50,0.831,0.2064,0.231
80000,182.25,0.821,0.3372,0.241
85000,144.25,0.810,0.3049,0.285
90000,150.75,0.801,0.2598,0.278
95000,146.25,0.791,0.2409,0.315
100000,131.75,0.781,0.2902,0.314
105000,147.00,0.771,0.3016,0.359
110000,182.00,0.762,0.2571,0.350
115000,212.00,0.753,0.2313,0.391
120000,168.00,0.743,0.2553,0.388
125000,170.50,0.734,0.3027,0.422
130000,189.25,0.725,0.3712,0.425
135000,214.50,0.716,0.2581,0.479
140000,179.75,0.708,0.3436,0.480
145000,190.50,0.699,0.3182,0.508
150000,182.25,0.690,0.2180,0.503
155000,158.25,0.682,0.2245,0.560
160000,173.00,0.674,0.2402,0.563
165000,172.00,0.665,0.2944,0.590
170000,162.00,0.657,0.2921,0.586
175000,154.25,0.649,0.4048,0.658
180000,153.25,0.641,0.3072,0.655
185000,137.25,0.633,0.3907,0.731
190000,135.00,0.626,0.3047,0.721
195000,151.25,0.618,0.2323,0.755
200000,158.25,0.610,0.1776,0.755
205000,146.50,0.603,0.1909,0.822
210000,104.75,0.596,0.2275,0.811
215000,117.00,0.588,0.2296,0.835
220000,152.50,0.581,0.3518,0.851
225000,169.50,0.574,0.2505,0.903
230000,140.75,0.567,0.2141,0.890
235000,140.50,0.560,0.2332,0.939
240000,173.75,0.553,0.2901,0.922
245000,149.75,0.547,0.3186,1.042
250000,153.50,0.540,0.2311,1.038
255000,166.75,0.533,0.2992,1.082
260000,122.50,0.527,0.2610,1.091
265000,142.00,0.520,0.2901,1.096
270000,159.75,0.514,0.2676,1.099
275000,127.50,0.508,0.2405,1.139
280000,175.25,0.502,0.3100,1.139
285000,168.50,0.496,0.3233,1.172
290000,117.25,0.489,0.2575,1.171
295000,137.25,0.484,0.3145,1.187
300000,172.50,0.478,0.2568,1.187
305000,168.75,0.472,0.2117,1.205
310000,145.75,0.466,0.2533,1.198
315000,135.75,0.460,0.2300,1.294
320000,145.25,0.455,0.2871,1.298
325000,155.00,0.449,0.2316,1.297
330000,167.75,0.444,0.3053,1.331
335000,154.50,0.438,0.3213,1.437
340000,158.50,0.433,0.2381,1.367
345000,174.75,0.428,0.2721,1.435
350000,187.25,0.423,0.2593,1.428
355000,212.00,0.418,0.2567,1.611
360000,204.75,0.413,0.3482,1.581
365000,197.00,0.408,0.3961,1.716
370000,188.25,0.403,0.2558,1.678
375000,167.75,0.398,0.3787,1.830
380000,210.00,0.393,0.3711,1.766
385000,259.75,0.388,0.3392,1.871
390000,244.25,0.383,0.3462,1.947
395000,215.00,0.379,0.2881,2.073
400000,189.25,0.374,0.4287,2.117
405000,196.75,0.370,0.4526,2.129
410000,201.25,0.365,0.4073,2.163
415000,163.00,0.361,0.2633,2.291
420000,180.25,0.356,0.4508,2.229
425000,232.75,0.352,0.5311,2.349
430000,239.25,0.348,0.4082,2.399
435000,179.00,0.344,0.3375,2.640
440000,156.50,0.340,0.3920,2.600
445000,166.25,0.335,0.3663,2.751
450000,174.50,0.331,0.3602,2.887
455000,226.75,0.327,0.3570,2.923
460000,231.50,0.323,0.4999,2.925
465000,219.00,0.320,0.4936,2.840
470000,180.75,0.316,0.3193,2.978
475000,219.25,0.312,0.2976,3.007
480000,247.25,0.308,0.4254,3.056
485000,193.50,0.304,0.3490,3.139
490000,186.00,0.301,0.3692,3.158
495000,198.25,0.297,0.4411,3.444
500000,179.00,0.294,0.3858,3.314
